id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9146,Roel Braas,NED,male,3/11/1987,2,100,rowing,0,0,0,0
9147,Rogen Ladon,PHI,male,11/10/1993,1.65,86,boxing,0,0,0,0
9148,Roger Beresford Hudson,RSA,male,3/22/1978,1.77,72,sailing,0,0,0,0
9149,Roger Kluge,GER,male,2/5/1986,1.91,85,cycling,0,0,0,0
9150,Roger Tahull Compte,ESP,male,5/11/1997,1.95,105,aquatics,0,0,0,0
9151,Roger Yves Bost,FRA,male,10/21/1965,1.76,80,equestrian,1,0,0,1
9152,Rogerio Dutra Silva,BRA,male,2/5/1984,1.8,73,tennis,0,0,0,0
9153,Rogier Hofman,NED,male,9/5/1986,1.84,79,hockey,0,0,0,0
9154,Rohan Bopanna,IND,male,3/4/1980,1.9,85,tennis,0,0,0,0
9155,Rohan Dennis,AUS,male,5/28/1990,1.82,72,cycling,0,0,0,0
9156,Roilya Ranaivosoa,MRI,female,11/14/1990,1.52,48,weightlifting,0,0,0,0
9157,Rok Draksic,SLO,male,1/2/1987,1.66,75,judo,0,0,0,0
9158,Rok Stipcevic,CRO,male,5/20/1986,1.86,85,basketball,0,0,0,0
9159,Roko Ukic,CRO,male,12/5/1984,1.95,88,basketball,0,0,0,0
9160,Rolando Palacios,HON,male,5/3/1987,1.89,89,athletics,0,0,0,0
9161,Rolando Saquipay,ECU,male,7/21/1979,1.65,61,athletics,0,0,0,0
9162,Rolands Strobinders,LAT,male,4/14/1992,1.9,103,athletics,0,0,0,0
9163,Rolf-Goran Bengtsson,SWE,male,6/2/1962,1.71,67,equestrian,0,0,0,0
9164,Romain Bardet,FRA,male,11/9/1990,1.84,64,cycling,0,0,0,0
9165,Romain Blary,FRA,male,10/20/1985,1.95,100,aquatics,0,0,0,0
9166,Romain Duguet,SUI,male,10/7/1980,1.76,68,equestrian,0,0,0,0
9167,Roman Anoshkin,RUS,male,8/31/1987,1.92,95,canoe,0,0,1,1
9168,Roman Bondaruk,UKR,male,6/20/1974,1.77,95,shooting,0,0,0,0
9169,Roman Fosti,EST,male,6/6/1983,1.81,69,athletics,0,0,0,0
